streamDictionary.streamName,streamDictionary.streamSrc,latitude,longitude
I-44 & 41st N,https://stream.oktraffic.org/delay-stream/4a02b926ac54f4e4.stream/playlist.m3u8,36.1026692,-95.91293782
I-44 & 41st NE,https://stream.oktraffic.org/delay-stream/6a2ab7bfc5fce283.stream/playlist.m3u8,36.1026692,-95.91293782
I-44 & 41st SW,https://stream.oktraffic.org/delay-stream/7f262a2c1975a9ed.stream/playlist.m3u8,36.1026692,-95.91293782
SH-51 & Lewis,https://stream.oktraffic.org/delay-stream/aee4673fa16a5895.stream/playlist.m3u8,36.14292851,-95.95861048
SH-51 & Lewis NB,https://stream.oktraffic.org/delay-stream/bfbbe6c8463ba149.stream/playlist.m3u8,36.14292851,-95.95861048
SH-51 & Lewis SB,https://stream.oktraffic.org/delay-stream/a3c104c36510c799.stream/playlist.m3u8,36.14292851,-95.95861048
SH-51 & Lewis EB,https://stream.oktraffic.org/delay-stream/833cd88eb8441fc1.stream/playlist.m3u8,36.14292851,-95.95861048
SH-51 & Lewis WB,https://stream.oktraffic.org/delay-stream/f166dbdecbb77956.stream/playlist.m3u8,36.14292851,-95.95861048
SH-51 & Sheridan,https://stream.oktraffic.org/delay-stream/494feba0bd385d0e.stream/playlist.m3u8,36.11549118,-95.90493947
SH-51 & Sheridan NB,https://stream.oktraffic.org/delay-stream/09d622f3fd4e191d.stream/playlist.m3u8,36.11549118,-95.90493947
SH-51 & Sheridan SB,https://stream.oktraffic.org/delay-stream/23dde902445031d4.stream/playlist.m3u8,36.11549118,-95.90493947
SH-51 & Sheridan EB,https://stream.oktraffic.org/delay-stream/495a55110ceb96b2.stream/playlist.m3u8,36.11549118,-95.90493947
SH-51 & Sheridan WB,https://stream.oktraffic.org/delay-stream/87f83f6fc3edd379.stream/playlist.m3u8,36.11549118,-95.90493947
I-44 & E 11th St,https://stream.oktraffic.org/delay-stream/93a90876afefdaa5.stream/playlist.m3u8,36.148332,-95.847091
I-44 & E 11th St NE,https://stream.oktraffic.org/delay-stream/525f64877af0a686.stream/playlist.m3u8,36.148332,-95.847091
I-44 & E 11th St E,https://stream.oktraffic.org/delay-stream/1d1612d6a05914f4.stream/playlist.m3u8,36.148332,-95.847091
I-44 & E 21st St,https://stream.oktraffic.org/delay-stream/c91d3139a901bb51.stream/playlist.m3u8,36.133815,-95.86756
I-44 & E 21st St,https://stream.oktraffic.org/delay-stream/395a13e30e2ea281.stream/playlist.m3u8,36.133815,-95.86756
I-44 & E 21st St,https://stream.oktraffic.org/delay-stream/8b19d1d3450eb533.stream/playlist.m3u8,36.133815,-95.86756
I-44 & E 21st St,https://stream.oktraffic.org/delay-stream/1bd4b5a8c91b9dc6.stream/playlist.m3u8,36.133815,-95.86756
I-44 & E 21st St,https://stream.oktraffic.org/delay-stream/22c1cda4ab76a158.stream/playlist.m3u8,36.133815,-95.86756
I-44 & Memorial,https://stream.oktraffic.org/delay-stream/fc12863115b3ebb5.stream/playlist.m3u8,36.120442,-95.886352
I-44 & Memorial S,https://stream.oktraffic.org/delay-stream/a3cd85f93ea670bb.stream/playlist.m3u8,36.120442,-95.886352
I-44 & Memorial NE,https://stream.oktraffic.org/delay-stream/9237528633f9fe9a.stream/playlist.m3u8,36.120442,-95.886352
I-44 & Memorial SW,https://stream.oktraffic.org/delay-stream/80549c4c906c3b69.stream/playlist.m3u8,36.120442,-95.886352
I-44 & N 165th E,https://stream.oktraffic.org/delay-stream/e5cef5f9ad8f10a4.stream/playlist.m3u8,36.16283835,-95.79671502
I-44 & N 165th E EB,https://stream.oktraffic.org/delay-stream/5d56965b939ed033.stream/playlist.m3u8,36.16283835,-95.79671502
I-44 & N 165th E WB,https://stream.oktraffic.org/delay-stream/3429cba2e0c23549.stream/playlist.m3u8,36.16283835,-95.79671502
